order_datetime,order_type,item_code,item_name,order_value,order_count,DJI,avg_price,res_cash,hold,portfolio_value,buy,sell
2016-11-01,buy,133690,TIGER NASDAQ100,99984448,4079,24512,24512,15552,4079,100000000,True,False
2016-11-30,sell,133690,TIGER NASDAQ100,103875814,4079,25466,24512,103891366,0,103891366,False,True
2016-12-01,buy,133690,TIGER NASDAQ100,103881360,4142,25080,25080,10006,4142,103891366,True,False
2016-12-29,sell,133690,TIGER NASDAQ100,109696728,4142,26484,25080,109706734,0,109706734,False,True
2017-02-01,buy,133690,TIGER NASDAQ100,109702219,4133,26543,26543,4515,4133,109706734,True,False
2017-02-28,sell,133690,TIGER NASDAQ100,111686059,4133,27023,26543,111690574,0,111690574,False,True
2017-09-01,buy,133690,TIGER NASDAQ100,111680789,3707,30127,30127,9785,3707,111690574,True,False
2017-09-29,sell,133690,TIGER NASDAQ100,112837373,3707,30439,30127,112847158,0,112847158,False,True
2018-02-01,buy,133690,TIGER NASDAQ100,112821072,3369,33488,33488,26086,3369,112847158,True,False
2018-02-28,sell,133690,TIGER NASDAQ100,113002998,3369,33542,33488,113029084,0,113029084,False,True
2018-04-02,buy,133690,TIGER NASDAQ100,113016376,3586,31516,31516,12708,3586,113029084,True,False
2018-04-30,sell,133690,TIGER NASDAQ100,115003020,3586,32070,31516,115015728,0,115015728,False,True
2018-05-02,buy,133690,TIGER NASDAQ100,115008152,3556,32342,32342,7576,3556,115015728,True,False
2018-05-31,sell,133690,TIGER NASDAQ100,120015000,3556,33750,32342,120022576,0,120022576,False,True
2018-07-02,buy,133690,TIGER NASDAQ100,119997667,3413,35159,35159,24909,3413,120022576,True,False
2018-07-31,sell,133690,TIGER NASDAQ100,122984042,3413,36034,35159,123008951,0,123008951,False,True
2018-09-03,buy,133690,TIGER NASDAQ100,122986457,3223,38159,38159,22494,3223,123008951,True,False
2018-09-28,sell,133690,TIGER NASDAQ100,122635150,3223,38050,38159,122657644,0,122657644,False,True
2018-10-01,buy,133690,TIGER NASDAQ100,122620449,3203,38283,38283,37195,3203,122657644,True,False
2018-10-31,sell,133690,TIGER NASDAQ100,112124218,3203,35006,38283,112161413,0,112161413,False,True
2019-05-02,buy,133690,TIGER NASDAQ100,112137216,2768,40512,40512,24197,2768,112161413,True,False
2019-05-31,sell,133690,TIGER NASDAQ100,106105744,2768,38333,40512,106129941,0,106129941,False,True
2019-06-03,buy,133690,TIGER NASDAQ100,106115475,2825,37563,37563,14466,2825,106129941,True,False
2019-06-28,sell,133690,TIGER NASDAQ100,112104475,2825,39683,37563,112118941,0,112118941,False,True
2019-07-01,buy,133690,TIGER NASDAQ100,112111512,2766,40532,40532,7429,2766,112118941,True,False
2019-07-31,sell,133690,TIGER NASDAQ100,116783286,2766,42221,40532,116790715,0,116790715,False,True
2019-10-01,buy,133690,TIGER NASDAQ100,116766715,2795,41777,41777,24000,2795,116790715,True,False
2019-10-31,sell,133690,TIGER NASDAQ100,118105520,2795,42256,41777,118129520,0,118129520,False,True
2019-11-01,buy,133690,TIGER NASDAQ100,118110279,2779,42501,42501,19241,2779,118129520,True,False
2019-11-29,sell,133690,TIGER NASDAQ100,123998980,2779,44620,42501,124018221,0,124018221,False,True
2019-12-02,buy,133690,TIGER NASDAQ100,123989270,2767,44810,44810,28951,2767,124018221,True,False
2019-12-30,sell,133690,TIGER NASDAQ100,126258210,2767,45630,44810,126287161,0,126287161,False,True
2020-03-02,buy,133690,TIGER NASDAQ100,126270450,2770,45585,45585,16711,2770,126287161,True,False
2020-03-31,sell,133690,TIGER NASDAQ100,118708350,2770,42855,45585,118725061,0,118725061,False,True
2020-05-04,buy,133690,TIGER NASDAQ100,118683600,2485,47760,47760,41461,2485,118725061,True,False
2020-05-29,sell,133690,TIGER NASDAQ100,129816400,2485,52240,47760,129857861,0,129857861,False,True
2020-07-01,buy,133690,TIGER NASDAQ100,129857715,2379,54585,54585,146,2379,129857861,True,False
2020-07-31,sell,133690,TIGER NASDAQ100,138053370,2379,58030,54585,138053516,0,138053516,False,True
