Date,EXCHUS,EXCHUSrate
2000-02-01,8.2781,-0.00013286307855819857
2000-03-01,8.2786,6.040033340992679e-05
2000-04-01,8.2793,8.455535960161242e-05
2000-05-01,8.2781,-0.0001449397895956217
2000-06-01,8.2772,-0.00010872060013766838
2000-07-01,8.2794,0.00026579036389118293
2000-08-01,8.2796,2.4156339831327145e-05
2000-09-01,8.2785,-0.00013285665974216432
2000-10-01,8.2785,0.0
2000-11-01,8.2774,-0.00013287431297925867
2000-12-01,8.2771,-3.624326479323425e-05
2001-01-01,8.2776,6.040763069181665e-05
2001-02-01,8.2771,-6.0403981830381426e-05
2001-03-01,8.2775,4.832610455340891e-05
2001-04-01,8.2771,-4.8323769253899584e-05
2001-05-01,8.277,-1.2081526138518761e-05
2001-06-01,8.277,0.0
2001-07-01,8.2769,-1.208167210342559e-05
2001-08-01,8.277,1.2081818071996153e-05
2001-09-01,8.2768,-2.4163344206740156e-05
2001-10-01,8.2768,0.0
2001-11-01,8.2769,1.2081964044119431e-05
2001-12-01,8.2764,-6.040909035975872e-05
2002-01-01,8.2771,8.457783577409117e-05
2002-02-01,8.2767,-4.8326104553630955e-05
2002-03-01,8.2773,7.24926601181064e-05
2002-04-01,8.2772,-1.2081234218808135e-05
2002-05-01,8.277,-2.4162760353885204e-05
2002-06-01,8.2767,-3.6245016310165745e-05
2002-07-01,8.2768,1.2082110019573378e-05
2002-08-01,8.2767,-1.2081964044008409e-05
2002-09-01,8.277,3.624633005894218e-05
2002-10-01,8.2772,2.4163344207073223e-05
2002-11-01,8.2772,0.0
2002-12-01,8.2777,6.040690088426892e-05
2003-01-01,8.2775,-2.4161300844371958e-05
2003-02-01,8.278,6.0404711567541014e-05
2003-03-01,8.2773,-8.456148828217547e-05
2003-04-01,8.2772,-1.2081234218808135e-05
2003-05-01,8.2769,-3.6244140530716784e-05
2003-06-01,8.2771,2.416363614421435e-05
2003-07-01,8.2773,2.4163052276815478e-05
2003-08-01,8.277,-3.624370265675747e-05
2003-09-01,8.2772,2.4163344207073223e-05
2003-10-01,8.2768,-4.8325520707548364e-05
2003-11-01,8.2769,1.2081964044119431e-05
2003-12-01,8.277,1.2081818071996153e-05
2004-01-01,8.277,0.0
2004-02-01,8.2771,1.2081672103647634e-05
2004-03-01,8.2771,0.0
2004-04-01,8.2769,-2.41630522769265e-05
2004-05-01,8.2771,2.416363614421435e-05
2004-06-01,8.2767,-4.8326104553630955e-05
2004-07-01,8.2767,0.0
2004-08-01,8.2768,1.2082110019573378e-05
2004-09-01,8.2767,-1.2081964044008409e-05
2004-10-01,8.2765,-2.41642200393688e-05
2004-11-01,8.2765,0.0
2004-12-01,8.2765,0.0
2005-01-01,8.2765,0.0
2005-02-01,8.2765,0.0
2005-03-01,8.2765,0.0
2005-04-01,8.2765,0.0
2005-05-01,8.2765,0.0
2005-06-01,8.2765,0.0
2005-07-01,8.2264,-0.006053283392738584
2005-08-01,8.1017,-0.015158514052319494
2005-09-01,8.0919,-0.0012096226717847047
2005-10-01,8.0895,-0.0002965928891857095
2005-11-01,8.084,-0.0006798936893503971
2005-12-01,8.0755,-0.0010514596734290116
2006-01-01,8.0654,-0.0012506965512970591
2006-02-01,8.0512,-0.00176060703746872
2006-03-01,8.035,-0.0020121224165341456
2006-04-01,8.0143,-0.0025762289981331454
2006-05-01,8.0131,-0.00014973235341830815
2006-06-01,8.0042,-0.0011106812594374738
2006-07-01,7.9897,-0.0018115489368082383
2006-08-01,7.9722,-0.002190320037047666
2006-09-01,7.9334,-0.004866912521010569
2006-10-01,7.9018,-0.003983159805379777
2006-11-01,7.8622,-0.00501151636336028
2006-12-01,7.8219,-0.005125791763119669
2007-01-01,7.7876,-0.0043851238190210085
2007-02-01,7.7502,-0.004802506548872598
2007-03-01,7.7369,-0.0017160847462001083
2007-04-01,7.7247,-0.0015768589486745421
2007-05-01,7.6773,-0.0061361606275972536
2007-06-01,7.6333,-0.005731181535175045
2007-07-01,7.5757,-0.007545884479844833
2007-08-01,7.5734,-0.00030360230737758176
2007-09-01,7.521,-0.006918953178229104
2007-10-01,7.5019,-0.0025395559101183407
2007-11-01,7.421,-0.010783934736533385
2007-12-01,7.3682,-0.007114944077617591
2008-01-01,7.2405,-0.017331234222740965
2008-02-01,7.1644,-0.01051032387266082
2008-03-01,7.0722,-0.012869186533415178
2008-04-01,6.9997,-0.010251406917225148
2008-05-01,6.9725,-0.003885880823463861
2008-06-01,6.8993,-0.010498386518465352
2008-07-01,6.8355,-0.009247314944994534
2008-08-01,6.8462,0.0015653573257259357
2008-09-01,6.8307,-0.0022640296806987203
2008-10-01,6.8358,0.0007466291888091892
2008-11-01,6.8281,-0.0011264226571870983
2008-12-01,6.8539,0.00377850353685516
2009-01-01,6.836,-0.0026116517603116396
2009-02-01,6.8363,4.388531304844179e-05
2009-03-01,6.836,-4.3883387212284575e-05
2009-04-01,6.8306,-0.0007899356348742836
2009-05-01,6.8235,-0.0010394401663103014
2009-06-01,6.8334,0.001450868322708354
2009-07-01,6.8317,-0.000248778060701893
2009-08-01,6.8323,8.782587057409863e-05
2009-09-01,6.8277,-0.000673272543652903
2009-10-01,6.8267,-0.00014646220542791077
2009-11-01,6.8271,5.859346389902598e-05
2009-12-01,6.8275,5.859003090624704e-05
2010-01-01,6.8269,-8.787989747338631e-05
2010-02-01,6.8285,0.00023436698940959566
2010-03-01,6.8262,-0.0003368236069415387
2010-04-01,6.8256,-8.789663355901478e-05
2010-05-01,6.8275,0.0002783638068448724
2010-06-01,6.8184,-0.0013328451116807472
2010-07-01,6.7762,-0.006189135281004288
2010-08-01,6.7873,0.0016380862430269705
2010-09-01,6.7396,-0.007027831390980177
2010-10-01,6.6678,-0.010653451243397338
2010-11-01,6.6538,-0.002099643060679557
2010-12-01,6.6497,-0.0006161892452433149
2011-01-01,6.5964,-0.008015399190940964
2011-02-01,6.5761,-0.0030774361773088232
2011-03-01,6.5645,-0.001763963443378369
2011-04-01,6.5267,-0.005758245106253335
2011-05-01,6.4957,-0.004749720379364719
2011-06-01,6.4746,-0.0032483027233400907
2011-07-01,6.4575,-0.002641089797053131
2011-08-01,6.4036,-0.00834688346883461
2011-09-01,6.3885,-0.0023580485976638643
2011-10-01,6.371,-0.002739297174610522
2011-11-01,6.3564,-0.0022916339664104113
2011-12-01,6.3482,-0.0012900383865079856
2012-01-01,6.3172,-0.004883273998928961
2012-02-01,6.2997,-0.002770214652061065
2012-03-01,6.3125,0.0020318427861645283
2012-04-01,6.3043,-0.001299009900990189
2012-05-01,6.3242,0.0031565756705742576
2012-06-01,6.3633,0.006182600170772545
2012-07-01,6.3717,0.0013200697751167834
2012-08-01,6.3593,-0.0019461054349702023
2012-09-01,6.32,-0.00617992546349444
2012-10-01,6.2627,-0.009066455696202569
2012-11-01,6.2338,-0.004614623085889447
2012-12-01,6.2328,-0.00016041579774772607
2013-01-01,6.2215,-0.00181298934668217
2013-02-01,6.2323,0.001735915775938457
2013-03-01,6.2154,-0.002711679476276929
2013-04-01,6.1861,-0.004714097242333626
2013-05-01,6.1416,-0.007193546822715335
2013-06-01,6.1342,-0.0012048977465156652
2013-07-01,6.1343,1.630204427627291e-05
2013-08-01,6.1213,-0.002119231208124739
2013-09-01,6.1198,-0.0002450459869635102
2013-10-01,6.1032,-0.002712506944671289
2013-11-01,6.0929,-0.0016876392712019683
2013-12-01,6.0738,-0.0031347962382445305
2014-01-01,6.0509,-0.00377029207415458
2014-02-01,6.0816,0.0050736254110956835
2014-03-01,6.1729,0.01501249671139182
2014-04-01,6.2246,0.008375317921884173
2014-05-01,6.238,0.002152748771005575
2014-06-01,6.2306,-0.0011862776530939811
2014-07-01,6.1984,-0.005168041601129825
2014-08-01,6.1541,-0.007147005678884932
2014-09-01,6.1382,-0.002583643424708626
2014-10-01,6.1251,-0.0021341761428432804
2014-11-01,6.1249,-3.265252812190145e-05
2014-12-01,6.1886,0.010400169798690628
2015-01-01,6.2181,0.004766829331351197
2015-02-01,6.2518,0.005419661954616517
2015-03-01,6.2386,-0.002111391919127348
2015-04-01,6.201,-0.006026993235661915
2015-05-01,6.2035,0.00040316078051927384
2015-06-01,6.2052,0.0002740388490367618
2015-07-01,6.2085,0.0005318120286212924
2015-08-01,6.3383,0.020906821293388056
2015-09-01,6.3676,0.0046226906268242995
2015-10-01,6.3505,-0.002685470192851369
2015-11-01,6.364,0.0021258168648137232
2015-12-01,6.4491,0.013372093023255704
2016-01-01,6.5726,0.01914995890899518
2016-02-01,6.5501,-0.0034233028025439927
2016-03-01,6.5027,-0.007236530739988645
2016-04-01,6.4754,-0.004198256109000931
2016-05-01,6.5259,0.0077987460234116845
2016-06-01,6.5892,0.009699811520250012
2016-07-01,6.6771,0.013340010926971457
2016-08-01,6.6466,-0.004567851312695659
2016-09-01,6.6702,0.003550687569584543
2016-10-01,6.7303,0.009010224580972004
2016-11-01,6.8402,0.016329138374218122
2016-12-01,6.9198,0.011637086634893823
2017-01-01,6.8907,-0.004205323853290643
2017-02-01,6.8694,-0.003091122817710845
2017-03-01,6.894,0.003581098785920167
2017-04-01,6.8876,-0.0009283434870902552
2017-05-01,6.8843,-0.00047912190022658674
2017-06-01,6.8066,-0.011286550557064512
2017-07-01,6.7694,-0.005465283695237022
2017-08-01,6.667,-0.015126894554908898
2017-09-01,6.569,-0.014699265036748121
2017-10-01,6.6254,0.008585781701933248
2017-11-01,6.62,-0.000815045129350711
2017-12-01,6.5932,-0.0040483383685799845
2018-01-01,6.4233,-0.025768974094521613
2018-02-01,6.3183,-0.01634673765821315
2018-03-01,6.3174,-0.00014244337875690682
2018-04-01,6.2967,-0.00327666445056507
2018-05-01,6.3701,0.011656899645846153
2018-06-01,6.4651,0.014913423651120139
2018-07-01,6.7164,0.03887024175960163
2018-08-01,6.8453,0.019191828955988255
2018-09-01,6.8551,0.0014316392269149159
2018-10-01,6.9191,0.009336114717509503
2018-11-01,6.9367,0.0025436834270353703
2018-12-01,6.8837,-0.007640520708694365
2019-01-01,6.7863,-0.014149367346049435
2019-02-01,6.7367,-0.007308842815672678
2019-03-01,6.7119,-0.0036813276530052175
2019-04-01,6.7161,0.0006257542573637753
2019-05-01,6.8519,0.02022006819433897
2019-06-01,6.8977,0.006684277353726786
2019-07-01,6.8775,-0.0029285124026849907
2019-08-01,7.0629,0.026957470010904983
2019-09-01,7.1137,0.007192512990414679
2019-10-01,7.0961,-0.0024740992732332767
2019-11-01,7.0199,-0.010738292865094867
2019-12-01,7.0137,-0.0008832034644368214
2020-01-01,,
2020-02-01,,
2020-03-01,,
