Date,Open,High,Low,Close,Volume,Adj Close,LM4DN,HM4UP,CM4UP,CSUSHPINSA,NEWORDER,PPIACO,HM4UP_predict
2015-02-01,17169.99023,18244.38086,17037.75977,18132.69922,1751250000.0,18132.69922,0.0,1.0,1.0,166.675,63627.0,200.9,0.0
2015-03-01,18134.05078,18288.63086,17579.26953,17776.11914,2470480000.0,17776.11914,0.0,0.0,0.0,166.485,65706.0,197.0,0.0
2015-04-01,17778.51953,18175.56055,17585.00977,17840.51953,2174880000.0,17840.51953,0.0,0.0,0.0,166.285,64937.0,192.0,0.0
2015-05-01,17859.26953,18351.35938,17733.11914,18010.67969,1832450000.0,18010.67969,0.0,0.0,0.0,166.675,64192.0,191.1,0.0
2015-06-01,18017.82031,18188.81055,17576.5,17619.50977,2219240000.0,17619.50977,0.0,0.0,0.0,168.13299999999995,64407.0,191.5,0.0
2015-07-01,17638.11914,18137.11914,17399.16992,17689.85938,2034220000.0,17689.85938,0.0,0.0,0.0,170.007,64131.0,190.9,0.0
2015-08-01,17696.74023,17704.75977,15370.330080000002,16528.0293,2726340000.0,16528.0293,1.0,0.0,0.0,171.88099999999997,62340.0,193.4,0.0
2015-09-01,16528.0293,16933.42969,15942.37012,16284.7002,2724080000.0,16284.7002,0.0,0.0,0.0,173.47400000000005,63624.0,194.8,0.0
2015-10-01,16278.62012,17799.96094,16013.66016,17663.53906,2605470000.0,17663.53906,0.0,1.0,1.0,174.513,63441.0,193.9,0.0
2015-11-01,17672.61914,17977.84961,17210.42969,17719.91992,2334610000.0,17719.91992,0.0,0.0,0.0,174.957,63405.0,191.9,0.0
2015-12-01,17719.7207,17901.58008,17116.73047,17425.0293,2521440000.0,17425.0293,0.0,0.0,0.0,175.071,63298.0,189.1,0.0
2016-01-01,17405.48047,17405.48047,15450.55957,16466.30078,2844080000.0,16466.30078,1.0,0.0,0.0,175.083,63356.0,187.5,0.0
2016-02-01,16453.63086,16795.98047,15503.009769999999,16516.5,2491810000.0,16516.5,1.0,0.0,0.0,175.185,62334.0,185.7,0.0
2016-03-01,16545.66992,17790.10938,16545.66992,17685.08984,2407750000.0,17685.08984,0.0,1.0,1.0,175.16299999999995,60537.0,183.5,0.0
2016-04-01,17661.74023,18167.63086,17484.23047,17773.64063,2096650000.0,17773.64063,0.0,0.0,0.0,175.08,61074.0,182.6,1.0
2016-05-01,17783.7793,17934.60938,17331.07031,17787.19922,1879010000.0,17787.19922,0.0,0.0,0.0,175.32,60710.0,181.3,1.0
2016-06-01,17754.55078,18016.0,17063.08008,17929.99023,2350020000.0,17929.99023,0.0,0.0,0.0,176.637,59891.0,182.1,1.0
2016-07-01,17924.24023,18622.00977,17713.44922,18432.24023,1816520000.0,18432.24023,0.0,0.0,0.0,178.52700000000004,60168.0,183.2,1.0
2016-08-01,18434.5,18722.60938,18247.78906,18400.88086,1695750000.0,18400.88086,0.0,0.0,0.0,180.377,58923.0,185.3,0.0
2016-09-01,18396.57031,18551.53906,17992.21094,18308.15039,2101120000.0,18308.15039,0.0,0.0,0.0,181.955,59059.0,187.6,0.0
2016-10-01,18279.59961,18399.96094,17959.94922,18142.41992,1793690000.0,18142.41992,0.0,0.0,0.0,183.065,59333.0,187.7,0.0
2016-11-01,18158.24023,19225.28906,17883.56055,19123.58008,2107770000.0,19123.58008,0.0,1.0,1.0,183.712,60984.0,186.6,1.0
2016-12-01,19149.19922,19987.63086,19138.78906,19762.59961,5952470000.0,19762.59961,0.0,1.0,0.0,184.011,58991.0,186.9,0.0
2017-01-01,19872.85938,20125.58008,19677.93945,19864.08984,6482900000.0,19864.08984,0.0,0.0,0.0,184.093,59052.0,186.7,0.0
2017-02-01,19923.81055,20851.33008,19831.08984,20812.24023,6185580000.0,20812.24023,0.0,1.0,1.0,184.315,58969.0,186.3,0.0
2017-03-01,20957.28906,21169.10938,20412.80078,20663.2207,6941970000.0,20663.2207,0.0,0.0,0.0,184.491,59072.0,188.2,0.0
2017-04-01,20665.16992,21070.90039,20379.55078,20940.50977,5392630000.0,20940.50977,0.0,0.0,0.0,184.739,61202.0,190.7,0.0
2017-05-01,20962.73047,21112.32031,20553.44922,21008.65039,6613570000.0,21008.65039,0.0,0.0,0.0,185.101,61363.0,191.6,0.0
2017-06-01,21030.55078,21535.0293,20994.2207,21349.63086,7214590000.0,21349.63086,0.0,0.0,0.0,186.604,61541.0,191.5,0.0
2017-07-01,21392.30078,21929.80078,21279.30078,21891.11914,5569720000.0,21891.11914,0.0,0.0,0.0,188.611,61763.0,193.0,0.0
2017-08-01,21961.41992,22179.10938,21600.33984,21948.09961,6150060000.0,21948.09961,0.0,0.0,0.0,190.611,61509.0,192.8,0.0
2017-09-01,21981.76953,22419.50977,21709.63086,22405.08984,6342130000.0,22405.08984,0.0,0.0,0.0,192.347,60755.0,193.6,1.0
2017-10-01,22423.4707,23485.25,22416.0,23377.24023,7302910000.0,23377.24023,0.0,1.0,1.0,193.601,61558.0,193.5,0.0
2017-11-01,23442.90039,24327.82031,23242.75,24272.34961,7335640000.0,24272.34961,0.0,0.0,0.0,194.441,61667.0,193.8,0.0
2017-12-01,24305.40039,24876.07031,23921.90039,24719.2207,6589890000.0,24719.2207,0.0,0.0,0.0,194.914,63859.0,194.8,1.0
2018-01-01,24809.34961,26616.71094,24741.69922,26149.39063,9116920000.0,26149.39063,0.0,1.0,1.0,195.181,63801.0,194.9,1.0
2018-02-01,26083.03906,26306.69922,23360.28906,25029.19922,9450250000.0,25029.19922,1.0,0.0,0.0,195.549,63309.0,195.9,0.0
2018-03-01,25024.03906,25449.15039,23509.06055,24103.10938,8873040000.0,24103.10938,1.0,0.0,0.0,195.947,63596.0,196.3,0.0
2018-04-01,24076.59961,24858.9707,23344.51953,24163.15039,8064550000.0,24163.15039,0.0,0.0,0.0,196.218,62956.0,197.9,0.0
2018-05-01,24117.28906,25086.49023,23531.31055,24415.83984,7278020000.0,24415.83984,0.0,1.0,0.0,197.01,62836.0,199.3,0.0
2018-06-01,24542.08984,25402.83008,23997.21094,24271.41016,7411110000.0,24271.41016,0.0,0.0,0.0,198.679,63326.0,199.3,0.0
2018-07-01,24161.5293,25587.24023,24077.56055,25415.18945,5408500000.0,25415.18945,0.0,1.0,1.0,200.723,64637.0,200.3,0.0
2018-08-01,25461.63086,26167.93945,24965.76953,25964.82031,5635410000.0,25964.82031,0.0,0.0,0.0,202.562,64510.0,203.2,0.0
2018-09-01,25916.07031,26769.16016,25754.32031,26458.31055,5262500000.0,26458.31055,0.0,0.0,0.0,204.153,66115.0,204.2,0.0
2018-10-01,26598.35938,26951.81055,24122.23047,25115.75977,8373350000.0,25115.75977,1.0,0.0,0.0,205.066,68474.0,204.3,0.0
2018-11-01,25142.08008,26277.82031,24268.74023,25538.46094,7226940000.0,25538.46094,0.0,1.0,0.0,205.448,65799.0,203.4,0.0
2018-12-01,25779.57031,25980.21094,21712.5293,23327.46094,8101540000.0,23327.46094,1.0,0.0,0.0,205.507,65848.0,203.6,0.0
2019-01-01,23058.60938,25109.61914,22638.41016,24999.66992,7189200000.0,24999.66992,0.0,1.0,1.0,205.515,66446.0,204.6,0.0
2019-02-01,25025.31055,26241.41992,24883.03906,25916.0,5434540000.0,25916.0,0.0,1.0,0.0,205.266,64336.0,202.3,0.0
2019-03-01,26019.66992,26155.98047,25208.0,25928.67969,6734060000.0,25928.67969,0.0,0.0,0.0,204.867,65150.0,201.0,0.0
2019-04-01,26075.09961,26695.96094,26062.58984,26592.91016,5854600000.0,26592.91016,0.0,0.0,0.0,204.385,66454.0,199.1,0.0
2019-05-01,26639.06055,26689.39063,24809.50977,24815.03906,6358230000.0,24815.03906,1.0,0.0,0.0,204.626,65816.0,199.2,0.0
2019-06-01,24830.16016,26907.36914,24680.57031,26599.96094,5544390000.0,26599.96094,0.0,1.0,1.0,205.965,67379.0,200.8,0.0
2019-07-01,26805.85938,27398.679689999997,26616.21094,26864.26953,5207470000.0,26864.26953,0.0,0.0,0.0,207.87,66092.0,202.1,0.0
2019-08-01,26879.85938,27175.589839999997,25339.59961,26403.2793,8170730000.0,26403.2793,1.0,0.0,0.0,209.528,65051.0,201.7,0.0
2019-09-01,26198.25977,27306.73047,25978.2207,26916.83008,5045520000.0,26916.83008,0.0,1.0,0.0,210.784,66439.0,200.3,0.0
2019-10-01,26962.539060000003,27204.35938,25743.46094,27046.23047,5660960000.0,27046.23047,1.0,0.0,0.0,211.539,66224.0,200.7,0.0
2019-11-01,27142.94922,28174.9707,27142.94922,28051.410160000003,4925180000.0,28051.410160000003,0.0,0.0,0.0,211.897,65864.0,199.2,0.0
2019-12-01,28109.74023,28701.660160000003,27325.13086,28538.43945,5086880000.0,28538.43945,0.0,0.0,0.0,212.062,65769.0,198.4,0.0
2020-01-01,28638.9707,29373.61914,28169.5293,28256.0293,6170770000.0,28256.0293,0.0,0.0,0.0,212.154,65954.0,198.6,0.0
2020-02-01,28319.65039,29568.570310000003,24681.00977,25409.35938,6991990000.0,25409.35938,1.0,1.0,0.0,212.293,66545.0,199.0,0.0
2020-03-01,25590.50977,27102.339839999997,18213.65039,21917.16016,15521140000.0,21917.16016,1.0,1.0,0.0,212.406,66240.0,199.0,0.0
2020-04-01,21227.38086,24764.76953,20735.01953,24345.7207,9795600000.0,24345.7207,0.0,1.0,1.0,212.468,66824.0,199.3,0.0
2020-05-01,24120.7793,25758.78906,22789.61914,25383.10938,7940630000.0,25383.10938,1.0,1.0,1.0,213.269,66453.0,196.7,0.0
2020-06-01,25342.99023,27580.210939999997,24843.17969,25812.88086,9710480000.0,25812.88086,0.0,1.0,0.0,215.202,65608.0,193.1,0.0
2020-07-01,25879.38086,27071.33008,25523.50977,26428.32031,8210370000.0,26428.32031,0.0,1.0,0.0,217.45,61299.0,186.0,0.0
2020-08-01,26542.32031,28154.88086,26534.38086,27778.070310000003,4122860000.0,27778.070310000003,0.0,1.0,1.0,218.872,62226.0,189.4,0.0
